epoch 0  | loss: 3558.32349| train_rmsle: 3.94985 | train_mae: 61.54289| train_rmse: 62.07012| train_mse: 3852.7  | valid_rmsle: 3.92861 | valid_mae: 61.47174| valid_rmse: 62.00952| valid_mse: 3845.18015|  0:00:00s
epoch 1  | loss: 3520.48413| train_rmsle: 3.86846 | train_mae: 61.43468| train_rmse: 61.96173| train_mse: 3839.25641| valid_rmsle: 3.85623 | valid_mae: 61.37786| valid_rmse: 61.91283| valid_mse: 3833.19829|  0:00:00s
epoch 2  | loss: 3487.93701| train_rmsle: 3.8206  | train_mae: 61.37461| train_rmse: 61.90275| train_mse: 3831.95037| valid_rmsle: 3.80487 | valid_mae: 61.31432| valid_rmse: 61.85273| valid_mse: 3825.76082|  0:00:00s
epoch 3  | loss: 3519.84058| train_rmsle: 3.76726 | train_mae: 61.30101| train_rmse: 61.82823| train_mse: 3822.72994| valid_rmsle: 3.74213 | valid_mae: 61.22863| valid_rmse: 61.76782| valid_mse: 3815.26383|  0:00:00s
epoch 4  | loss: 3481.62109| train_rmsle: 3.70881 | train_mae: 61.21152| train_rmse: 61.73898| train_mse: 3811.70173| valid_rmsle: 3.68841 | valid_mae: 61.14589| valid_rmse: 61.68613| valid_mse: 3805.1791|  0:00:01s
epoch 5  | loss: 3445.98608| train_rmsle: 3.64244 | train_mae: 61.10287| train_rmse: 61.62984| train_mse: 3798.23712| valid_rmsle: 3.63147 | valid_mae: 61.05165| valid_rmse: 61.59262| valid_mse: 3793.65106|  0:00:01s
epoch 6  | loss: 3426.96338| train_rmsle: 3.59935 | train_mae: 61.02799| train_rmse: 61.55545| train_mse: 3789.07348| valid_rmsle: 3.57585 | valid_mae: 60.94931| valid_rmse: 61.49328| valid_mse: 3781.42337|  0:00:01s
epoch 7  | loss: 3383.14453| train_rmsle: 3.55751 | train_mae: 60.95168| train_rmse: 61.48042| train_mse: 3779.84224| valid_rmsle: 3.55522 | valid_mae: 60.91485| valid_rmse: 61.45553| valid_mse: 3776.78205|  0:00:01s
epoch 8  | loss: 3422.07104| train_rmsle: 3.50033 | train_mae: 60.84077| train_rmse: 61.37154| train_mse: 3766.46637| valid_rmsle: 3.48776 | valid_mae: 60.7773 | valid_rmse: 61.32021| valid_mse: 3760.16815|  0:00:01s
epoch 9  | loss: 3335.10327| train_rmsle: 3.4226  | train_mae: 60.6776 | train_rmse: 61.20823| train_mse: 3746.44736| valid_rmsle: 3.40917 | valid_mae: 60.61961| valid_rmse: 61.16099| valid_mse: 3740.6671|  0:00:01s
epoch 10 | loss: 3342.23145| train_rmsle: 3.37043 | train_mae: 60.56137| train_rmse: 61.0932 | train_mse: 3732.37876| valid_rmsle: 3.34574 | valid_mae: 60.48727| valid_rmse: 61.0265 | valid_mse: 3724.23349|  0:00:01s
epoch 11 | loss: 3350.59912| train_rmsle: 3.27406 | train_mae: 60.33503| train_rmse: 60.86928| train_mse: 3705.06947| valid_rmsle: 3.27672 | valid_mae: 60.31581| valid_rmse: 60.85913| valid_mse: 3703.8342|  0:00:01s
epoch 12 | loss: 3314.12964| train_rmsle: 3.13903 | train_mae: 59.95681| train_rmse: 60.4974 | train_mse: 3659.93559| valid_rmsle: 3.15745 | valid_mae: 59.9671 | valid_rmse: 60.52   | valid_mse: 3662.67009|  0:00:01s
epoch 13 | loss: 3291.7644| train_rmsle: 2.98902 | train_mae: 59.46264| train_rmse: 60.01379| train_mse: 3601.65492| valid_rmsle: 3.02821 | valid_mae: 59.54329| valid_rmse: 60.10661| valid_mse: 3612.80461|  0:00:02s
epoch 14 | loss: 3235.37012| train_rmsle: 2.89305 | train_mae: 59.10688| train_rmse: 59.66664| train_mse: 3560.10769| valid_rmsle: 2.94365 | valid_mae: 59.22394| valid_rmse: 59.79322| valid_mse: 3575.22975|  0:00:02s
epoch 15 | loss: 3280.1416| train_rmsle: 2.78533 | train_mae: 58.61847| train_rmse: 59.19264| train_mse: 3503.76858| valid_rmsle: 2.84278 | valid_mae: 58.7734 | valid_rmse: 59.35425| valid_mse: 3522.92695|  0:00:02s
epoch 16 | loss: 3233.93823| train_rmsle: 2.66578 | train_mae: 58.08034| train_rmse: 58.67184| train_mse: 3442.38528| valid_rmsle: 2.6978  | valid_mae: 58.11478| valid_rmse: 58.70507| valid_mse: 3446.28478|  0:00:02s
epoch 17 | loss: 3201.58105| train_rmsle: 2.55497 | train_mae: 57.46663| train_rmse: 58.07507| train_mse: 3372.71339| valid_rmsle: 2.56782 | valid_mae: 57.41122| valid_rmse: 58.03031| valid_mse: 3367.51692|  0:00:02s
